customer_id,age,gender,subscription_length,membership_type,num_logins,num_complaints,num_classes_attended,avg_session_time,renewed_membership
257561,56,Male,54,6,2,3,4,115.1,0
706964,69,Female,21,1,34,3,16,31.2,1
337298,46,Female,49,3,18,2,3,110.6,0
241148,32,Male,47,3,42,2,0,91.2,1
333758,60,Male,6,3,28,0,5,75.2,0
294721,25,Female,48,3,9,1,0,82.4,0
988798,38,Female,49,3,11,3,3,105.8,0
307179,56,Female,3,6,45,4,1,115.6,0
180041,36,Female,10,12,29,2,12,80.4,0
115919,40,Female,5,6,29,1,13,46.3,0
774534,28,Female,46,3,17,0,16,87.6,1
161998,28,Female,26,3,23,1,10,36.9,1
640180,41,Male,21,3,31,3,2,87.2,0
799282,53,Female,45,12,8,1,6,102.8,0
882221,57,Female,26,1,46,3,9,61.8,0
209503,41,Male,38,1,23,2,10,36.4,1
592260,20,Female,44,6,25,2,9,92.3,1
443951,39,Female,26,6,2,3,7,60.5,0
401623,19,Male,8,1,22,4,4,52.4,0
491931,41,Female,5,3,10,2,1,92.0,0
368011,61,Male,15,12,9,4,14,117.3,0
148638,47,Male,59,6,49,3,15,97.1,1
511902,55,Male,16,12,35,3,3,74.2,0
796239,19,Male,1,3,12,2,15,84.0,0
159173,38,Female,16,3,28,4,11,42.8,1
107478,50,Male,37,6,37,3,13,103.2,1
477958,29,Male,3,1,12,2,11,84.4,0
531277,39,Female,52,1,25,3,15,116.9,1
659574,61,Male,47,1,19,1,15,118.2,1
128573,42,Male,31,3,4,1,11,61.9,1
310013,66,Male,13,3,19,2,1,119.0,0
204483,44,Male,56,12,13,3,13,116.1,1
554639,59,Female,16,12,44,2,10,87.6,0
415902,45,Male,55,12,13,0,8,60.0,1
719083,33,Female,43,3,7,2,6,97.8,1
699651,32,Female,21,1,47,2,11,54.4,1
826782,64,Male,2,3,12,1,16,86.7,0
208175,68,Male,54,12,23,1,8,32.2,1
179621,61,Male,27,12,14,3,5,86.6,1
201470,69,Male,38,12,0,2,11,115.6,0
274219,20,Female,26,12,21,2,19,51.2,1
774233,54,Female,58,6,33,3,9,100.0,1
311430,68,Female,59,12,49,4,8,56.4,1
597642,24,Male,38,3,39,3,11,93.7,0
279962,38,Female,46,6,2,1,0,93.0,0
351936,26,Male,25,1,25,1,1,46.6,1
240185,56,Male,11,3,13,2,18,83.7,0
871764,35,Male,8,3,40,1,0,107.3,0
570165,21,Male,8,1,7,3,15,64.4,0
908611,42,Male,33,3,48,2,15,93.9,1
110029,31,Female,53,6,15,3,17,90.7,1
355742,67,Female,7,1,41,3,17,53.2,1
241718,26,Male,38,6,20,2,12,112.7,1
511971,43,Female,21,12,9,4,11,80.7,1
424195,19,Male,8,1,24,1,8,62.0,1
794599,37,Male,51,6,37,0,4,44.8,1
130026,45,Male,54,12,21,0,8,72.6,1
338343,64,Female,21,6,48,0,12,95.7,1
728854,24,Male,56,6,47,1,15,86.1,0
904252,61,Male,20,3,46,4,9,95.4,1
633032,25,Female,8,12,45,3,15,101.3,1
787588,64,Female,58,3,3,2,13,69.7,0
725435,52,Female,46,12,3,4,1,76.8,1
947163,31,Male,31,12,29,0,18,118.8,1
317090,34,Male,50,3,1,1,10,117.1,1
903540,53,Female,57,3,28,1,18,67.3,1
987424,67,Male,29,3,42,2,10,91.7,0
424448,57,Female,48,12,35,3,13,54.1,1
581276,21,Female,9,12,20,4,14,43.7,0
902458,19,Male,15,12,20,4,6,99.2,1
530128,23,Male,30,12,47,4,14,69.3,1
645969,59,Female,26,12,20,3,7,45.9,1
988088,21,Female,10,12,3,3,3,98.3,0
624607,46,Female,29,6,0,3,17,112.4,0
229780,35,Female,54,3,25,2,13,114.0,1
698921,43,Male,16,12,1,1,17,83.7,0
681627,61,Female,36,6,8,0,3,73.2,0
887078,51,Female,20,1,44,3,1,42.8,0
812688,27,Female,45,6,17,1,5,101.4,1
426980,53,Male,54,3,47,3,10,115.1,1
775661,31,Male,37,1,47,0,0,110.1,0
620692,48,Female,22,12,41,3,14,97.7,1
231858,65,Male,7,3,40,1,11,30.4,0
991712,32,Male,23,1,10,2,17,66.7,0
376144,25,Male,41,6,24,0,4,67.0,1
161699,31,Female,40,1,25,1,10,110.5,1
447908,40,Female,29,3,35,4,18,35.9,0
947613,57,Male,16,1,41,4,0,77.8,0
288795,38,Female,38,6,34,4,16,42.3,1
620332,33,Female,28,1,37,2,7,89.6,0
215788,62,Male,48,6,2,3,15,101.3,1
548356,35,Male,38,1,40,3,10,87.8,0
541528,64,Female,31,6,34,3,18,101.5,0
771303,41,Male,14,6,49,2,10,84.7,0
936039,43,Female,53,6,39,4,14,47.1,0
617999,42,Female,33,12,21,3,7,64.4,1
847497,62,Male,57,6,7,2,13,116.1,0
983418,58,Female,9,3,14,2,0,55.9,0
297185,46,Female,57,6,44,1,9,35.7,0
149370,32,Male,27,12,6,3,6,64.6,0
611643,62,Male,24,12,18,4,17,63.0,1
706140,18,Male,13,3,39,0,11,72.3,1
856564,42,Female,26,6,41,2,1,80.4,0
284195,24,Male,29,12,16,1,17,119.3,1
903708,26,Male,51,12,0,0,6,98.1,0
992124,41,Male,49,1,44,2,19,33.2,1
739154,18,Male,43,1,28,1,11,94.1,1
908120,61,Female,28,3,12,3,19,104.2,1
344392,25,Female,28,1,47,1,13,110.6,1
719526,41,Male,8,6,28,2,9,68.2,0
365837,28,Female,23,1,40,3,8,58.2,1
369811,68,Male,29,12,41,4,14,105.5,1
734257,34,Male,5,3,5,1,19,100.0,0
249809,25,Female,42,1,4,0,9,78.2,1
112410,52,Female,7,3,33,3,18,40.6,0
430381,52,Male,42,6,10,3,18,88.7,1
524799,50,Male,36,6,8,4,11,35.9,0
237528,22,Female,41,1,37,1,11,39.0,1
672313,59,Male,27,1,39,0,8,59.8,1
659564,56,Female,58,1,40,4,19,63.4,0
179211,58,Male,46,12,8,1,3,71.6,1
412793,45,Male,2,6,7,0,0,60.5,0
639925,24,Female,25,12,43,0,15,33.0,1
596146,26,Female,9,1,39,2,0,44.2,0
612187,25,Female,53,6,2,0,12,40.4,0
292553,29,Female,27,12,12,1,2,68.8,0
985015,51,Female,1,12,18,4,11,49.1,1
385351,50,Female,23,3,33,4,8,56.4,1
570138,65,Female,10,12,31,2,3,72.4,0
377092,40,Male,42,1,48,1,1,51.2,1
857519,41,Male,52,1,15,0,8,52.1,1
559043,54,Male,25,12,35,2,19,105.0,1
669160,52,Female,54,3,17,3,12,79.3,1
506880,61,Female,3,3,13,1,13,107.1,0
430367,57,Female,6,3,29,2,2,76.3,0
837285,39,Male,58,12,1,4,17,111.8,0
730133,44,Female,6,12,12,2,8,52.9,0
571832,52,Female,53,3,26,3,14,85.5,0
833986,18,Male,2,12,16,1,9,75.3,1
644392,52,Female,58,6,30,2,16,112.7,1
814985,54,Male,58,1,14,0,12,67.7,1
457826,64,Male,18,12,19,1,0,106.9,1
974829,31,Female,23,6,4,2,10,80.8,1
540343,20,Female,2,12,6,2,4,93.8,0
527769,18,Female,12,6,17,1,8,109.8,0
730492,22,Male,22,3,10,4,6,119.7,1
966806,43,Male,37,1,31,0,6,95.8,1
839190,31,Male,20,12,49,1,1,58.3,1
174400,56,Female,39,6,26,0,18,56.9,1
661785,44,Female,24,6,25,0,19,57.8,1
659138,26,Female,48,3,36,1,17,38.8,1
932837,32,Female,20,1,44,2,9,34.8,0
527979,32,Male,1,1,27,4,4,82.3,1
845390,43,Male,1,1,49,0,15,103.0,1
720369,59,Male,17,6,1,0,4,33.3,1
111952,30,Male,59,12,19,2,14,81.0,1
755911,68,Female,1,12,3,1,15,63.5,0
696224,49,Female,53,3,12,4,3,110.3,0
575976,56,Female,52,1,23,0,13,43.1,1
351821,66,Male,45,12,47,0,16,80.7,1
148335,69,Male,30,6,37,1,16,117.4,1
198070,49,Female,41,6,39,2,15,61.1,1
260126,21,Female,47,1,47,3,8,96.8,1
605805,47,Male,3,3,44,2,1,109.4,1
260874,54,Female,46,3,28,0,10,46.8,1
125306,40,Male,55,1,35,0,14,119.3,1
674070,56,Male,11,6,1,4,2,102.8,0
321476,62,Male,24,3,40,2,15,42.4,1
207322,32,Female,22,6,17,3,18,58.0,1
748929,60,Female,44,6,48,4,5,86.2,0
275630,46,Male,45,12,7,3,13,109.6,1
813868,53,Female,26,3,14,4,4,47.5,0
666311,30,Male,13,6,40,2,4,95.8,1
260959,49,Male,1,12,16,0,5,54.4,0
516039,24,Male,24,6,22,3,17,102.5,1
353249,68,Male,10,1,1,2,17,91.5,0
750497,39,Female,35,3,5,3,18,77.1,1
636310,45,Male,24,6,28,2,1,88.5,0
129569,19,Male,28,3,26,4,16,108.9,1
176627,59,Female,36,12,36,2,0,64.8,1
896014,62,Male,16,3,48,4,8,99.2,0
955301,23,Male,40,6,33,0,12,44.3,1
645709,45,Female,16,3,17,4,3,93.1,0
310142,45,Female,59,1,41,1,4,97.6,0
851600,61,Female,17,1,9,0,17,69.9,0
818610,61,Male,51,12,37,2,9,101.4,1
356908,37,Female,54,6,43,2,3,80.1,1
657780,47,Female,15,3,16,1,12,114.3,1
702483,28,Male,16,12,12,2,12,40.1,1
143639,45,Male,15,12,47,0,16,41.8,1
344335,42,Male,57,6,41,0,7,105.8,1
826463,56,Male,34,3,26,4,3,105.8,0
595809,50,Male,11,12,1,3,2,72.4,0
972341,18,Female,1,12,33,2,10,116.8,0
138948,44,Female,15,6,30,1,11,91.1,1
667506,69,Female,26,6,22,0,8,118.5,1
601164,30,Male,51,12,6,0,14,77.9,1
300457,58,Male,4,3,37,0,12,48.1,1
588125,20,Male,43,12,32,3,4,70.0,1
170826,56,Female,5,1,11,3,4,118.2,0
633197,23,Female,35,6,44,2,18,63.3,1
210294,25,Male,13,1,11,1,10,116.1,1
968536,44,Female,10,3,18,3,8,101.7,1
322332,26,Male,11,6,8,4,2,69.8,0
907426,54,Female,18,3,9,3,17,78.8,1
298121,50,Female,34,1,16,0,12,84.7,1
767844,68,Female,39,3,49,1,11,89.9,1
756217,59,Male,41,6,39,2,8,36.9,1
557780,61,Female,42,1,38,3,9,114.0,1
890094,41,Female,50,6,40,0,12,83.7,1
803890,32,Male,23,1,9,4,19,113.8,0
796376,49,Female,7,12,11,4,19,86.9,0
500655,49,Male,59,3,14,2,12,68.8,1
336376,41,Male,39,3,30,2,8,81.0,1
723315,58,Male,3,6,14,3,9,104.7,1
570183,69,Male,12,12,27,2,18,59.4,0
951273,66,Male,7,6,3,0,5,116.1,1
680397,66,Female,49,6,35,0,6,71.9,1
286244,69,Male,26,1,0,0,14,116.1,1
812140,29,Male,33,12,43,3,18,109.3,1
385794,56,Male,37,1,33,3,13,99.1,1
785617,19,Male,48,6,46,2,15,72.1,0
340939,20,Female,15,1,16,3,13,82.8,1
620518,66,Male,2,1,38,0,19,105.4,1
790604,54,Female,41,3,37,1,1,79.0,1
288208,66,Male,7,12,43,0,8,96.4,1
645076,34,Female,32,3,32,1,2,101.2,0
747580,66,Male,4,12,20,2,5,76.2,0
374256,19,Male,20,3,25,4,4,78.3,1
167515,19,Female,50,6,45,3,13,47.8,1
521602,45,Male,53,3,35,3,14,52.0,1
306760,40,Female,36,12,4,0,17,111.4,1
615966,54,Male,32,12,32,0,16,105.6,1
145066,49,Female,28,12,0,1,8,30.9,1
527192,50,Male,13,3,5,3,18,108.2,0
989355,18,Male,1,1,36,2,8,32.3,0
985859,36,Female,60,3,1,0,15,71.2,1
435559,19,Male,56,1,4,3,5,36.1,1
859108,61,Male,35,3,25,4,7,117.2,1
960131,43,Male,48,6,40,1,2,117.5,1
949868,49,Male,30,6,46,0,4,85.0,1
851952,23,Male,54,3,12,0,6,65.3,1
206865,49,Male,36,3,11,2,0,76.1,1
221551,21,Female,57,3,4,0,3,98.6,0
890892,28,Female,55,6,1,3,15,50.1,1
174087,34,Female,25,1,3,3,13,69.8,0
961241,55,Male,16,12,26,3,0,96.4,1
820620,41,Female,58,1,49,4,3,65.6,1
513435,22,Male,19,3,9,4,9,32.9,1
500542,69,Male,1,6,12,0,10,75.7,1
638721,51,Male,5,12,43,4,6,96.4,1
679277,23,Male,51,1,1,4,3,117.9,0
953275,39,Female,22,3,25,2,0,33.3,1
965411,28,Male,24,6,14,4,0,78.6,1
340210,65,Female,43,6,45,1,16,70.5,1
643561,33,Male,45,12,9,1,9,51.8,1
373812,50,Female,52,1,21,1,4,87.4,1
783709,26,Female,37,6,39,0,6,44.7,1
110549,23,Female,53,3,24,3,7,55.5,1
860638,33,Female,36,3,14,2,1,100.4,0
132238,46,Female,36,12,12,0,8,71.4,1
383440,20,Female,4,1,7,3,3,119.4,0
644618,37,Male,36,6,20,2,11,64.8,1
616240,53,Female,52,12,20,2,10,71.7,1
614497,36,Male,53,1,21,2,4,57.0,0
426223,43,Female,18,1,45,1,11,51.3,1
534067,20,Male,50,6,32,1,3,113.0,0
128675,36,Female,16,12,44,1,12,97.4,1
419684,37,Female,41,12,26,2,0,60.0,1
767689,49,Male,18,12,39,2,17,93.0,1
801023,24,Female,22,12,49,1,3,116.9,1
769555,69,Female,2,1,21,2,3,36.7,0
942759,58,Female,21,12,29,1,7,53.8,1
727559,50,Male,36,12,8,1,19,48.1,1
352428,57,Female,44,6,44,1,5,108.3,1
700556,56,Male,39,3,34,3,3,46.1,1
909160,35,Female,47,1,17,2,3,57.7,1
438010,57,Female,39,6,41,0,10,78.9,1
300396,18,Male,29,6,4,1,8,85.9,0
264078,28,Female,54,6,26,0,13,102.7,1
794619,45,Female,26,1,5,3,3,66.7,0
797985,42,Male,21,3,31,2,12,78.1,0
813526,67,Female,17,1,7,1,5,116.9,0
896092,40,Male,16,12,38,1,12,56.8,1
592634,48,Male,60,3,20,1,2,52.3,0
426794,47,Male,31,1,17,0,6,94.0,1
712902,59,Female,51,1,13,3,0,99.4,1
728443,52,Male,9,12,14,2,10,67.3,1
192837,24,Male,31,1,41,3,1,49.2,1
918111,33,Female,14,3,25,1,4,100.1,0
730424,43,Male,49,6,43,3,13,90.3,1
390619,65,Female,37,1,31,0,12,108.9,1
231261,69,Female,2,1,38,4,15,106.0,1
999234,66,Female,52,3,27,4,14,48.5,1
268824,19,Female,48,1,38,2,2,104.9,1
350047,18,Male,46,6,42,2,5,45.8,0
380073,65,Male,14,12,31,3,8,107.7,1
404085,29,Male,59,12,12,2,2,99.3,1
536942,22,Male,33,12,14,0,12,81.3,1
130729,54,Male,35,6,17,1,12,87.8,1
302868,49,Female,58,12,38,1,6,39.4,1
419910,26,Male,39,3,5,3,4,33.6,0
216837,58,Male,58,3,10,1,7,59.8,1
550265,52,Male,47,6,31,3,7,103.9,1
710571,36,Female,51,6,39,2,6,71.9,1
324562,65,Female,20,6,19,2,18,50.1,1
875988,33,Male,2,3,32,0,6,105.1,1
883280,20,Female,51,6,39,1,3,50.6,1
